0,0,0,0,0,1
0.08,0.08,0.08,0.08,0.08,1
0.27,0.27,0.27,0.27,0.27,1
0.01,0.01,0.01,0.01,0.01,1
0.07,0.07,0.08,0.08,0.08,1
0.24,0.24,0.24,0.24,0.24,1
0,0,0,0,0,1
0.04,0.04,0.04,0.05,0.04,1
0.25,0.26,0.26,0.25,0.26,1
0.03,0.03,0.03,0.03,0.03,1
0.05,0.05,0.05,0.05,0.05,1
0.19,0.19,0.19,0.19,0.19,1
0.03,0.03,0.03,0.03,0.03,1
0.06,0.06,0.06,0.07,0.07,1
0.25,0.25,0.26,0.26,0.26,1
0,0,0,0,0,1
0.05,0.05,0.05,0.05,0.05,1
0.24,0.24,0.24,0.24,0.24,1
0.02,0.02,0.02,0.02,0.01,1
0.06,0.06,0.06,0.06,0.06,1
0.24,0.24,0.24,0.24,0.24,1
0.06,0.06,0.06,0.06,0.06,1
0.06,0.06,0.06,0.06,0.06,1
0.24,0.24,0.24,0.24,0.24,1
0.02,0.02,0.03,0.03,0.03,1
0.06,0.06,0.06,0.06,0.06,1
0.26,0.26,0.26,0.26,0.26,1
0.03,0.03,0.03,0.03,0.03,1
0.05,0.05,0.05,0.05,0.05,1
0.24,0.24,0.24,0.24,0.24,1
0.02,0.02,0.02,0.02,0.02,1
0.03,0.04,0.03,0.03,0.03,1
0.29,0.29,0.29,0.29,0.29,1
0.03,0.03,0.03,0.03,0.03,1
0.05,0.05,0.05,0.05,0.05,1
0.25,0.25,0.25,0.25,0.25,1
0.03,0.03,0.03,0.03,0.03,1
0.06,0.06,0.06,0.06,0.07,1
0.25,0.25,0.25,0.25,0.25,1
0.01,0.01,0.01,0.01,0.01,1
0.02,0.02,0.02,0.03,0.03,1
0.27,0.27,0.27,0.27,0.27,1
0.02,0.02,0.02,0.02,0.02,1
0.05,0.05,0.05,0.05,0.05,1
0.29,0.29,0.29,0.29,0.29,1
0.03,0.03,0.03,0.03,0.03,3
0.19,0.19,0.19,0.19,0.19,3
0.46,0.46,0.46,0.46,0.46,3
0.1,0.1,0.1,0.1,0.1,3
0.05,0.05,0.06,0.06,0.06,3
0.53,0.53,0.53,0.53,0.53,3
0.05,0.05,0.05,0.05,0.05,3
0.14,0.14,0.14,0.14,0.14,3
0.51,0.51,0.51,0.51,0.51,3
0.05,0.05,0.05,0.05,0.05,3
0.04,0.04,0.04,0.04,0.04,3
0.49,0.49,0.49,0.49,0.49,3
0.06,0.06,0.06,0.06,0.07,3
0.09,0.08,0.08,0.09,0.09,3
0.51,0.51,0.51,0.51,0.52,3
0.05,0.05,0.05,0.06,0.06,3
0.14,0.14,0.14,0.14,0.14,3
0.52,0.52,0.52,0.52,0.52,3
0.09,0.09,0.09,0.09,0.09,3
0.16,0.16,0.16,0.16,0.16,3
0.5,0.5,0.5,0.5,0.5,3
0.09,0.09,0.09,0.09,0.09,3
0.09,0.09,0.09,0.09,0.09,3
0.53,0.53,0.53,0.54,0.53,3
0.07,0.06,0.06,0.06,0.06,3
0.07,0.07,0.07,0.07,0.07,3
0.53,0.52,0.52,0.53,0.53,3
0.06,0.06,0.07,0.06,0.07,3
0.13,0.12,0.13,0.12,0.12,3
0.53,0.53,0.53,0.53,0.53,3
0.05,0.05,0.05,0.05,0.05,3
0.14,0.14,0.14,0.14,0.14,3
0.51,0.51,0.51,0.51,0.51,3
0.1,0.1,0.1,0.11,0.11,3
0.1,0.1,0.1,0.1,0.1,3
0.53,0.53,0.53,0.53,0.53,3
0.03,0.03,0.03,0.03,0.03,3
0.18,0.18,0.18,0.18,0.18,3
0.57,0.57,0.57,0.57,0.57,3
0.04,0.04,0.04,0.04,0.04,3
0.12,0.12,0.12,0.13,0.12,3
0.52,0.52,0.52,0.52,0.52,3
0.04,0.04,0.04,0.04,0.04,3
0.08,0.08,0.08,0.08,0.08,3
0.48,0.48,0.48,0.48,0.48,3
0.09,0.09,0.09,0.09,0.09,2
0.14,0.14,0.14,0.14,0.14,2
0.01,0.01,0.01,0.01,0.01,2
0.12,0.12,0.12,0.12,0.13,2
0.14,0.14,0.14,0.14,0.14,2
0.05,0.04,0.05,0.05,0.05,2
0.06,0.06,0.06,0.06,0.06,2
0.16,0.16,0.16,0.16,0.16,2
0.04,0.05,0.05,0.05,0.05,2
0.08,0.08,0.08,0.08,0.08,2
0.16,0.16,0.16,0.16,0.16,2
0.01,0.01,0.01,0.01,0.01,2
0.12,0.12,0.12,0.12,0.12,2
0.15,0.15,0.15,0.15,0.15,2
0.01,0.01,0.02,0.02,0.01,2
0.13,0.13,0.13,0.13,0.13,2
0.13,0.13,0.13,0.13,0.13,2
0.02,0.01,0.01,0.01,0.01,2
0.16,0.17,0.17,0.17,0.17,2
0.19,0.19,0.19,0.19,0.19,2
0.02,0.02,0.02,0.02,0.01,2
0.17,0.17,0.17,0.17,0.17,2
0.19,0.19,0.19,0.19,0.19,2
0.02,0.02,0.02,0.02,0.02,2
0.16,0.16,0.16,0.16,0.16,2
0.2,0.2,0.2,0.2,0.2,2
0,0,0,0.01,0,2
0.13,0.13,0.13,0.13,0.13,2
0.19,0.19,0.2,0.19,0.2,2
0.01,0.01,0.01,0.01,0.01,2
0.13,0.13,0.13,0.13,0.13,2
0.21,0.21,0.21,0.21,0.21,2
0.02,0.02,0.02,0.02,0.02,2
0.16,0.16,0.16,0.16,0.16,2
0.21,0.21,0.21,0.21,0.21,2
0,0,0,0,0,2
0.11,0.12,0.12,0.12,0.12,2
0.17,0.17,0.17,0.17,0.17,2
0.03,0.03,0.03,0.03,0.03,2
0.13,0.13,0.13,0.13,0.13,2
0.21,0.21,0.21,0.21,0.21,2
0.02,0.03,0.02,0.03,0.03,2
0.14,0.14,0.14,0.14,0.14,2
0.23,0.23,0.23,0.23,0.23,2
0,0,0,0,0,2
0,0,0.01,0.01,0.01,0
0,0,0,0,0,0
0,0.01,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0
0,0,0,0,0,0
0,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0
0.01,0.01,0,0,0,0
0.01,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0
0.01,0,0.01,0.01,0.01,0
0.01,0,0,0,0,0
0.01,0.01,0.01,0.01,0.01,0
0.01,0.01,0.01,0.01,0.01,0
0,0,0,0,0,0